#{"t_start": 1713296370.8827949, "env_id": "SpaceInvadersNoFrameskip-v4"}
r,l,t
620.0,4199,1178.234705
340.0,2843,1180.971158
195.0,2413,1183.344412
185.0,1635,1184.88407
250.0,3629,1188.414393
510.0,3564,1191.914499
350.0,3187,1194.917385
315.0,2897,1197.691781
155.0,1983,1199.570917
160.0,1729,1201.206088
50.0,1517,1202.710518
230.0,2413,1205.111824
380.0,2431,1207.467726
170.0,1993,1209.344084
105.0,2221,1211.489457
460.0,3135,1214.536171
160.0,2111,1216.543866
155.0,1867,1224.403593
110.0,1387,1225.726205
265.0,2649,1228.31254
100.0,1475,1229.694193
145.0,1909,1231.49178
75.0,1481,1232.910325
95.0,1343,1234.1614
150.0,1917,1236.11414
230.0,2709,1238.720808
230.0,3967,1242.530436
155.0,1853,1244.336146
215.0,2655,1246.873899
350.0,3381,1250.140186
85.0,3003,1253.006922
245.0,3324,1256.302126
305.0,2595,1258.81329
60.0,1201,1259.955465
280.0,2643,1262.501555
315.0,2814,1265.340337
115.0,1721,1267.006379
250.0,2241,1269.114303
200.0,2335,1271.365731
125.0,1579,1272.878733
295.0,2939,1275.789475
250.0,1949,1277.647457
180.0,2089,1279.677471
45.0,1123,1280.745493
575.0,3627,1284.316081
200.0,2083,1286.351989
330.0,2885,1289.16916
175.0,2169,1291.281992
295.0,2891,1294.114035
285.0,2949,1297.197975
360.0,2837,1299.950359
235.0,1849,1301.77253
145.0,2047,1303.743348
375.0,3349,1306.991727
260.0,2397,1309.39181
260.0,2401,1311.695369
240.0,2723,1314.326213
205.0,2283,1316.551783
395.0,3489,1319.841032
415.0,2793,1328.645753
225.0,2323,1330.8374
155.0,1953,1332.743227
225.0,2431,1335.14194
255.0,1973,1337.035963
570.0,3783,1340.59725
415.0,3003,1343.509455
125.0,1941,1345.439126
295.0,2965,1348.306505
155.0,2407,1350.584814
260.0,2163,1352.660552
255.0,3353,1356.039202
175.0,1841,1357.833641
130.0,1677,1359.440138
365.0,1977,1361.383795
360.0,3605,1364.873407
315.0,2679,1367.438571
60.0,1509,1368.94127
230.0,2065,1371.010025
290.0,2835,1373.756598
235.0,2563,1376.220749
115.0,1935,1378.091041
130.0,1703,1379.747993
140.0,1979,1381.6297
155.0,2401,1384.006699
645.0,3727,1387.685338
300.0,2855,1390.383577
305.0,2899,1393.196891
255.0,2997,1396.078453
480.0,3817,1399.772117
420.0,3499,1403.129166
265.0,2971,1406.073406
375.0,3145,1409.095648
525.0,3571,1412.521222
230.0,2555,1415.007985
160.0,1911,1416.941256
140.0,2455,1419.330436
395.0,3631,1422.850196
535.0,2731,1425.527666
235.0,2353,1437.220439
375.0,2713,1439.832332
470.0,3903,1443.584565
340.0,3515,1447.02216
220.0,2287,1449.24996
370.0,3427,1452.588158
280.0,2283,1454.714082
200.0,2269,1456.948125
50.0,1135,1458.047306
225.0,2843,1460.784377
210.0,1971,1462.708209
285.0,2845,1465.468383
365.0,3743,1469.159222
170.0,2177,1471.258818
545.0,3489,1474.748243
155.0,1489,1476.160348
370.0,2929,1478.96531
530.0,3159,1481.994116
80.0,1497,1483.49463
190.0,1695,1485.118559
355.0,2625,1487.629822
200.0,2121,1489.674523
360.0,3069,1492.681173
445.0,4249,1496.758712
280.0,2325,1498.982954
25.0,1217,1500.14244
55.0,1295,1501.351004
500.0,3547,1504.786906
90.0,1611,1506.336784
175.0,2133,1508.405225
160.0,2039,1510.311325
135.0,1507,1511.74749
105.0,1875,1513.596886
210.0,2131,1515.664489
75.0,1907,1517.468173
215.0,2261,1519.629045
240.0,2239,1521.825784
245.0,3167,1524.898835
245.0,2389,1527.165162
195.0,1883,1529.010881
80.0,1623,1530.559745
775.0,4713,1542.833414
85.0,1673,1544.441789
75.0,1119,1545.508254
575.0,3951,1549.448739
495.0,3867,1553.218565
670.0,4151,1557.209935
175.0,1941,1559.046609
290.0,3155,1562.092588
250.0,2207,1564.247603
220.0,2617,1566.841696
230.0,2375,1569.173179
265.0,3410,1572.534797
345.0,3039,1575.463772
180.0,2675,1578.021056
190.0,1961,1579.91178
265.0,3123,1582.952669
235.0,2645,1585.489413
145.0,2039,1587.466407
165.0,3489,1590.951574
90.0,1935,1592.891863
100.0,2243,1595.171551
555.0,4429,1599.476343
420.0,3291,1602.709683
405.0,3757,1606.533013
40.0,1615,1608.176203
480.0,4525,1612.774925
250.0,2815,1615.65231
330.0,3204,1618.898902
485.0,3875,1622.817849
165.0,2787,1625.852694
165.0,1953,1627.73166
230.0,2627,1630.292069
645.0,4271,1634.40268
250.0,2449,1636.718051
280.0,2693,1639.314407
330.0,2797,1641.99675
450.0,3049,1654.662187
270.0,2623,1657.196049
305.0,2617,1659.728416
340.0,2755,1662.40114
175.0,1647,1663.998887
270.0,2229,1666.201852
420.0,2667,1668.720322
300.0,2369,1671.008229
350.0,3137,1674.032779
350.0,2901,1676.816734
145.0,1893,1678.607774
435.0,3753,1682.265007
430.0,4065,1686.295361
185.0,2889,1689.108818
425.0,3693,1692.64503
435.0,3719,1696.261796
390.0,3595,1699.698839
625.0,3151,1702.795794
195.0,1771,1704.472999
170.0,2117,1706.533105
285.0,3351,1709.765136
215.0,1931,1711.578587
340.0,2575,1714.123389
165.0,1829,1715.985193
405.0,3533,1719.363556
160.0,1801,1721.157837
240.0,2489,1723.566555
565.0,4365,1727.819414
330.0,3011,1730.675072
215.0,1987,1732.607097
340.0,2793,1735.261124
515.0,2903,1738.111436
400.0,2977,1740.990872
360.0,3585,1744.468042
720.0,4271,1748.603066
445.0,3185,1762.711137
540.0,3817,1766.342729
300.0,3325,1769.588393
405.0,3357,1772.892401
335.0,3177,1776.202544
365.0,3055,1779.233192
520.0,3059,1782.224468
385.0,3231,1785.34059
150.0,2035,1787.34811
455.0,3501,1790.766392
435.0,2991,1793.65318
285.0,2903,1796.390661
445.0,3215,1799.491945
330.0,2618,1802.052055
255.0,2763,1804.769225
830.0,4689,1809.280937
140.0,2459,1811.623416
440.0,4213,1815.705673
210.0,2271,1817.966561
385.0,3236,1821.13669
300.0,3157,1824.167172
175.0,1999,1826.100957
85.0,1473,1827.496346
145.0,2223,1829.703322
225.0,2035,1831.618044
325.0,2531,1834.20287
355.0,3117,1837.434281
255.0,2759,1840.265326
205.0,1969,1842.222702
425.0,3251,1845.576386
245.0,2667,1848.21293
175.0,2035,1850.222371
775.0,4811,1854.775096
625.0,2533,1857.182474
280.0,2747,1859.904599
315.0,3247,1873.074315
560.0,4371,1877.313775
260.0,3687,1880.913611
330.0,4209,1884.999012
155.0,1947,1886.895959
340.0,2585,1889.468605
330.0,3885,1893.243187
315.0,3333,1896.524914
155.0,1937,1898.512786
365.0,3293,1901.882427
555.0,3067,1904.830437
275.0,2513,1907.315464
265.0,2705,1909.954316
265.0,2217,1912.267256
425.0,3451,1915.740944
250.0,3005,1918.797155
340.0,2593,1921.367424
190.0,1963,1923.337271
530.0,4023,1927.328759
260.0,2379,1929.641032
340.0,3567,1933.271013
500.0,3521,1937.088601
585.0,2650,1939.892546
530.0,2929,1943.110888
335.0,2497,1945.783175
310.0,3045,1948.968756
525.0,3759,1953.171575
325.0,3215,1956.707879
585.0,3216,1960.27734
100.0,1561,1962.044832
490.0,4295,1966.649487
255.0,2947,1969.882978
270.0,2119,1972.119224
280.0,3093,1984.492169
265.0,2955,1987.72122
